!SESSION 2020-07-16 16:42:03.218 -----------------------------------------------
eclipse.buildId=4.7.0.202006181331-RELEASE
java.version=1.8.0_251
java.vendor=Oracle Corporation
BootLoader constants: OS=win32, ARCH=x86_64, WS=win32, NL=en_CA
Framework arguments:  -product org.springframework.boot.ide.branding.sts4 -product org.springframework.boot.ide.branding.sts4
Command-line arguments:  -os win32 -ws win32 -arch x86_64 -product org.springframework.boot.ide.branding.sts4 -data C:\Users\Cristian Jofre\Spring_framework -product org.springframework.boot.ide.branding.sts4

This is a continuation of log file C:\Users\Cristian Jofre\Spring_framework\.metadata\.bak_8.log
Created Time: 2020-07-17 12:12:22.928

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2020-07-17 12:12:22.929
!MESSAGE exists = false open = true => deleted = true

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2020-07-17 12:12:22.931
!MESSAGE buffering callback sts4.classpath.eUrhLDnK viewmvc1 true 0

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2020-07-17 12:12:22.932
!MESSAGE exists = false open = true => deleted = true

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2020-07-17 12:12:22.934
!MESSAGE buffering callback sts4.classpath.lUvlXzlu viewmvc1 true 0

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2020-07-17 12:12:22.936
!MESSAGE buffering callback sts4.classpath.XAdlHAyD viewmvc1 true 0

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2020-07-17 12:12:22.939
!MESSAGE buffering callback sts4.classpath.NLHTmRTl viewmvc1 true 0

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2020-07-17 12:12:22.941
!MESSAGE buffering callback sts4.classpath.IYALAtad viewmvc1 true 0

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2020-07-17 12:12:22.942
!MESSAGE exists = false open = true => deleted = true

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2020-07-17 12:12:22.944
